id,SMILES,QED,LogP,MolWt,HBA,HBD,TPSA,NumRotBonds,IE,Concentration_mM,N_count,S_count,O_count,P_count,dipole_moment,HOMO,LUMO,HOMO-LUMO Gap,Ionization Potential,Electron Affinity,Electronegativity,Hardness,Softness,Electrophilicity,Electron Donor Capacity,Electron Acceptor Capacity,vdw_volume,vdw_surface_area,Category
226,[Br-].c1ccc(CCn2cc[n+](CCc3ccccc3)c2)cc1,0.560220765,0.265,357.295,1,0,8.81,6,0.957,1,2,0,0,0,,,,,,,,,,,,,,,other
227,CCCCCCCCCCCCCCC1C=Nn2cnnc2N(CCCCCCCCCCCCCC)C1=O,0.109198832,9.8671,543.885,5,0,63.38,26,0.978,1,5,0,1,0,4.0625,-0.23613,-0.05638,0.17975,0.23613,0.05638,0.146255,0.089875,11.12656467,0.11900153,0.31019403,0.01768403,5825.899,5821.615344,other
228,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2cn(C)n(-c3ccccc3)c2=O)cc1.[Br-],0.091865486,5.9788,625.74,4,0,39.29,19,0.9401,1,4,0,1,0,9.8023,-0.11758,-0.06392,0.05366,0.11758,0.06392,0.09075,0.02683,37.27171077,0.153476752,0.257641752,0.076141752,5128.028,5135.219092,Schiff bases
229,CCCCCCCCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCCCCCCCC)cc2)cc1.[Br-].[Br-],0.029729785,9.6139,949.168,1,0,24.72,34,0.9504,1,4,1,0,0,,,,,,,,,,,,,,,Schiff bases
230,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.056274874,8.5357,645.94,1,1,29.1,33,0.985,1,2,0,1,0,6.961,-0.00504,0.04595,0.05099,0.00504,-0.04595,-0.020455,0.025495,39.22337713,0.008205668,0.000498168,0.041408168,,,Brominated
231,CCCCCCCCCCCCCCCC[N+](C)(C)CCCNC(=O)CCCCCCCCCCCCCCC.[Br-],0.056274874,8.5357,645.94,1,1,29.1,33,0.985,1,2,0,1,0,6.961,-0.00504,0.04595,0.05099,0.00504,-0.04595,-0.020455,0.025495,39.22337713,0.008205668,0.000498168,0.041408168,,,Brominated
232,CCCCCCCCCCCCCCCCCN1C(=O)CSc2ccccc21,0.260555783,7.9967,403.676,2,0,20.31,16,0.93,1,1,1,1,0,2.8278,-0.21356,-0.02601,0.18755,0.21356,0.02601,0.119785,0.093775,10.66382298,0.076504645,0.243177145,0.003607145,4417.266,4408.077576,other
233,CCCCCCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCCCCCC)cc1OC.[Br-].[Na+],0.023512886,7.0249,854.025,6,0,80.18,38,0.9227,1,2,0,5,1,,,,,,,,,,,,,,,ionic surfactant
234,CCCCCCCCCCCCCSc1nc2ccccc2[nH]1,0.316869264,6.966,332.557,2,1,28.68,13,0.957,1,2,1,0,0,1.829,-0.20451,-0.00946,0.19505,0.20451,0.00946,0.106985,0.097525,10.25378108,0.058681314,0.214428814,0.000458814,2979.65,2976.9579,Benzimidazoles
235,CCCCCCCCCCCCOC1C2OC(C)(C)O[C@H]2O[C@]12CO2,0.37980709,4.5268,356.503,5,0,49.45,12,0.944,1,0,0,5,0,2.7859,-0.24943,0.05534,0.30477,0.24943,-0.05534,0.097045,0.152385,6.562325688,0.030901112,0.204138612,0.010048612,3723.002,3716.051976,Glucose
236,CCCCCCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCCCCCC)cc1OC.[Br-].[Na+],0.039348567,3.9041,741.809,6,0,80.18,30,0.9085,1,2,0,5,1,,,,,,,,,,,,,,,ionic surfactant
237,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.247017115,6.0555,340.292,1,0,8.81,7,0.8298,1,2,0,0,1,,,,,,,,,,,,,,,Phosphates
238,CCCCCCCCNc1nc(NCCCN(C)C)nc(NCCCN(C)C)n1,0.319052089,3.3712,408.639,8,3,81.24,18,0.9653,1,8,0,0,0,1.3977,-0.20786,0.00354,0.2114,0.20786,-0.00354,0.10216,0.1057,9.460737938,0.049369279,0.204379279,5.93E-05,4239.715,4241.489312,Triazines
239,CCCCCCCCNc1nc(NCCCN(C)C)nc(Sc2nnc(C)s2)n1,0.394353088,4.31872,438.671,10,2,91.75,15,0.9672,1,8,2,0,0,3.8632,-0.19914,-0.05756,0.14158,0.19914,0.05756,0.12835,0.07079,14.12628902,0.116356283,0.280101283,0.023401283,3272.563,3287.767622,Triazines
240,CCCCCCCCOP(=O)([O-])Oc1ccc(/C=N/CC[N+](C)(C)CCCCCCCC)cc1OC.[Br-].[Na+],0.062358986,0.7833,629.593,6,0,80.18,22,0.9009,1,2,0,5,1,,,,,,,,,,,,,,,Triazines
241,CCCCCCn1cc[n+](C)c1.[I-],0.370191345,-1.1031,294.18,1,0,8.81,5,0.924,1,2,0,0,0,,,,,,,,,,,,,,,ionic surfactant
242,CCCCCCNc1nc(NCCCN(C)C)nc(Nc2nc3ccccc3[nH]2)n1,0.3143137,3.8473,411.558,8,4,106.68,13,0.9688,1,9,0,0,0,3.3121,-0.19612,-0.01469,0.18143,0.19612,0.01469,0.105405,0.090715,11.02353525,0.061236918,0.211999418,0.001189418,3916.577,3906.785232,Imidazoles
243,CCCCCCOC1C(C2CO2)OC2OC(C)(C)OC21,0.530393373,2.2271,286.368,5,0,49.45,7,0.946,1,0,0,5,0,3.8401,-0.24799,0.06618,0.31417,0.24799,-0.06618,0.090905,0.157085,6.365980202,0.026303336,0.195750836,0.013940836,2389.877,2391.419779,other
244,CCCCCCSc1ncn[nH]1,0.54655612,2.4771,185.296,3,1,41.57,6,0.91,1,3,1,0,0,2.3848,-0.22305,0.01236,0.23541,0.22305,-0.01236,0.105345,0.117705,8.495815811,0.047141451,0.211338951,0.000648951,1629.81,1630.588816,other
245,CCCCCCSc1ncnn1N,0.43089848,1.6643,200.311,5,1,56.73,6,0.91,1,4,1,0,0,0.9896,-0.21633,0.01156,0.22789,0.21633,-0.01156,0.102385,0.113945,8.776163939,0.045998895,0.205356395,0.000586395,1766.591,1770.584544,Triazole
246,CCCCn1cc[n+](C)c1.[I-],0.447019227,-1.8833,266.126,1,0,8.81,3,0.824,1,2,0,0,0,,,,,,,,,,,,,,,other
247,CCCN(CCC)Cc1ccc2cccnc2c1O,0.860282465,3.5624,258.365,3,1,36.36,6,0.94,1,2,0,1,0,2.8255,-0.19511,-0.05944,0.13567,0.19511,0.05944,0.127275,0.067835,14.74165254,0.119399467,0.280591967,0.026041967,2581.298,2577.4941,Imidazoles
248,CCCn1cc[n+](C)c1.[I-],0.414324009,-2.2734,252.099,1,0,8.81,2,0.774,1,2,0,0,0,,,,,,,,,,,,,,,Quinolines
249,CCN(CC)c1ccc(/C=N\c2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.969,1,4,2,0,0,6.7383,-0.2012,-0.05202,0.14918,0.2012,0.05202,0.12661,0.07459,13.40662287,0.1074547,0.2713597,0.0181397,2017.009,2018.563561,Imidazoles
250,CCN(CC)c1ccc(C=Nc2nnc(S)s2)cc1,0.677909483,3.4236,292.433,6,1,41.38,5,0.969,1,4,2,0,0,6.6587,-0.19623,-0.06794,0.12829,0.19623,0.06794,0.132085,0.064145,15.58967963,0.135992261,0.300149761,0.035979761,2333.231,2339.6694,other
251,CCN(CC)CCN1C(=O)C(=O)c2cc(Br)ccc21,0.780336143,2.3202,325.206,3,0,40.62,5,0.935,1,2,0,2,0,5.2138,-0.22696,-0.10315,0.12381,0.22696,0.10315,0.165055,0.061905,16.15378402,0.220040005,0.416047505,0.085937505,2746.644,2753.443227,Schiff bases
252,CCN(CC)CCN1C(=O)C(=O)c2cc(F)ccc21,0.75995588,1.6968,264.3,3,0,40.62,5,0.906,1,2,0,2,0,5.9165,-0.21443,-0.09657,0.11786,0.21443,0.09657,0.1555,0.05893,16.96928559,0.205160784,0.390125784,0.079125784,2094.817,2096.911908,Indigo derivative
253,CCN(CC)CCN1C(=O)C(=O)c2ccccc21,0.740220911,1.5577,246.31,3,0,40.62,5,0.888,1,2,0,2,0,5.3937,-0.2209,-0.09391,0.12699,0.2209,0.09391,0.157405,0.063495,15.7492716,0.195104607,0.384257107,0.069447107,2199.114,2197.799973,Indigo derivative
254,CCN(CC)CCOCc1ccc(O)c2ncccc12,0.788610417,2.7988,274.364,4,1,45.59,7,0.937,1,2,0,2,0,2.7138,-0.20133,-0.05433,0.147,0.20133,0.05433,0.12783,0.0735,13.60544218,0.111159924,0.275739924,0.020079924,2210.691,2210.439555,Indigo derivative
255,CCN1C(=O)CC(C)=Nn2cnnc21,0.642205578,0.2587,193.21,5,0,63.38,1,0.969,1,5,0,1,0,4.1465,-0.23644,-0.04752,0.18892,0.23644,0.04752,0.14198,0.09446,10.58649164,0.106702945,0.295912945,0.011952945,1418.466,,Quinolines
256,CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,0.411145753,3.7149,256.13,1,0,8.81,1,0.6205,1,2,0,0,1,,,,,,,,,,,,,,,other
257,CCOC(=O)C1=C(c2ccccc2)C(C#N)=C(N)OC1C,0.85915448,2.11588,284.315,5,1,85.34,3,0.68,1,2,0,3,0,2.8228,-0.20373,-0.04149,0.16224,0.20373,0.04149,0.12261,0.08112,12.32741617,0.092660331,0.255830331,0.010610331,2383.195,2379.16404,Phosphates
258,CCOC(=O)C1N=NN(CC2(CC)COC(c3ccccc3)=N2)C1C(=O)OCC,0.617634474,2.1584,402.451,9,0,102.15,8,0.925,1,4,0,5,0,3.5396,-0.23211,-0.04097,0.19114,0.23211,0.04097,0.13654,0.09557,10.46353458,0.097536735,0.281861735,0.008781735,3574.703,3578.035272,Pyranes
259,CCOC(=O)CC(=O)NCc1ccc(O)c2ncccc12,0.64283812,1.5098,288.303,5,2,88.52,5,0.832,1,2,0,4,0,4.5117,-0.20792,-0.06355,0.14437,0.20792,0.06355,0.135735,0.072185,13.85329362,0.127616473,0.299443973,0.027973973,1870.664,1866.812505,Triazole
260,CCOc1ccc(/C=N/NC(N)=S)cc1,0.458037374,1.2524,223.301,3,2,59.64,4,0.81,1,3,1,1,0,3.9273,-0.20171,-0.04422,0.15749,0.20171,0.04422,0.122965,0.078745,12.699219,0.09600858,0.25834608,0.01241608,2155.037,2152.936292,Quinolines
261,CCOc1ccccc1N,0.629081495,1.6675,137.182,2,1,35.25,2,0.5526,1,1,0,1,0,1.5752,-0.18605,0.01706,0.20311,0.18605,-0.01706,0.084495,0.101555,9.846881,0.035150436,0.170422936,0.001432936,1208.637,,Thiourea
262,CCOP(=O)(O)C(NC)c1cccc(OC)c1,0.765927801,2.1351,259.242,4,2,67.79,6,0.8664,1,1,0,4,1,3.2881,-0.21765,-0.00766,0.20999,0.21765,0.00766,0.112655,0.104995,9.52426306,0.060436921,0.225589421,0.000279421,2161.385,2156.757408,Amine
263,CCOP(=O)(O)C(NC)c1ccccc1OC,0.765927801,2.1351,259.242,4,2,67.79,6,0.9406,1,1,0,4,1,1.6825,-0.21915,-0.01016,0.20899,0.21915,0.01016,0.114655,0.104495,9.569835877,0.062901426,0.229803926,0.000493926,1961.636,1962.204235,Phosphonate esters
264,Clc1ccc(-c2nc3ccccc3n2CCCCn2c(-c3ccc(Cl)cc3)nc3ccccc32)cc1,0.201523642,8.5072,511.456,4,0,35.64,7,0.89,1,4,0,0,0,,,,,,,,,,,,,3999.728,3999.550288,Phosphonate esters
265,Clc1ccc(-n2ccnc2)cc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.513,1,2,0,0,0,1.9845,-0.22814,-0.03797,0.19017,0.22814,0.03797,0.133055,0.095085,10.51690593,0.093093722,0.273691222,0.007581222,1215.163,,Benzimidazoles
266,Clc1cccc(-n2ccnc2)c1,0.656380298,2.5257,178.622,2,0,17.82,1,0.572,1,2,0,0,0,3.5249,-0.2301,-0.03836,0.19174,0.2301,0.03836,0.13423,0.09587,10.4307917,0.093969401,0.276134401,0.007674401,1554.606,,Imidazoles
267,Clc1ccccc1-n1ccnc1,0.656380298,2.5257,178.622,2,0,17.82,1,0.519,1,2,0,0,0,4.6543,-0.22514,-0.03557,0.18957,0.22514,0.03557,0.130355,0.094785,10.55019254,0.089636683,0.267384183,0.006674183,1566.403,,Imidazoles
268,Clc1ncc[nH]1,0.521511091,1.0631,102.524,1,1,28.68,0,0.477,1,2,0,0,0,3.8367,-0.22765,0.02011,0.24776,0.22765,-0.02011,0.10377,0.12388,8.072328059,0.043462274,0.209172274,0.001632274,,,Imidazoles
269,ClCc1nc2ccccc2[nH]1,0.647495777,2.3017,166.611,1,1,28.68,1,0.81,1,2,0,0,0,1.9413,-0.22322,-0.02418,0.19904,0.22322,0.02418,0.1237,0.09952,10.04823151,0.076877462,0.250337462,0.002937462,1043.441,,Imidazoles
270,CN(C)c1ccc(/C=C/c2nc3ccccc3[nH]c2=O)cc1,0.806113567,3.1595,291.354,3,1,48.99,3,0.964,1,3,0,1,0,1.891,-0.18511,-0.06769,0.11742,0.18511,0.06769,0.1264,0.05871,17.03287345,0.136066769,0.291821769,0.039021769,2211.304,2210.77134,Benzimidazoles
271,CN(C)c1ccc(/C=N/c2ccccc2S)cc1,0.652198006,3.7919,256.374,3,1,15.6,3,0.77,1,2,1,0,0,5.6209,-0.19975,-0.04405,0.1557,0.19975,0.04405,0.1219,0.07785,12.84521516,0.095437444,0.256262444,0.012462444,2655.99,2650.498578,Quinoxalines
272,CN(C)c1ccc(/C=N/Cc2ccc(O)c3ncccc23)cc1,0.748879178,3.6255,305.381,4,1,48.72,4,0.957,1,3,0,1,0,5.0518,-0.19195,-0.05344,0.13851,0.19195,0.05344,0.122695,0.069255,14.43939066,0.108685749,0.266008249,0.020618249,2809.912,2803.839003,Schiff bases
273,CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1.[Cl-],0.709775976,1.4636,407.989,2,0,9.49,4,0.75,1,3,0,0,0,,,,,,,,,,,,,,,other
274,CN(C)c1ccc(C=Nn2c(S)nnc2Cn2cncn2)cc1,0.561585819,1.1548,328.405,9,1,77.02,5,0.934,1,8,1,0,0,9.8349,-0.21119,-0.06741,0.14378,0.21119,0.06741,0.1393,0.07189,13.91014049,0.134959591,0.310204591,0.031604591,2803.613,2798.421164,Anilines
275,CN(C)Cc1ccc(O)c2ncccc12,0.808795169,2.002,202.257,3,1,36.36,2,0.928,1,2,0,1,0,3.2916,-0.20184,-0.0595,0.14234,0.20184,0.0595,0.13067,0.07117,14.05086413,0.119956786,0.286211786,0.024871786,2190.435,2187.514206,Triazole
276,CN(C)Cc1ccc2cccnc2c1O,0.808795169,2.002,202.257,3,1,36.36,2,0.891,1,2,0,1,0,3.1673,-0.19876,-0.06007,0.13869,0.19876,0.06007,0.129415,0.069345,14.42065037,0.120760273,0.284847773,0.026017773,1634.123,,Quinolines
277,CN=C(C)S/C=C(\C)c1ccc(O)cc1,0.611755605,3.5344,221.325,3,1,32.59,2,0.916,1,1,1,1,0,3.9678,-0.21226,-0.02444,0.18782,0.21226,0.02444,0.11835,0.09391,10.64849324,0.074575245,0.239880245,0.003180245,1756.559,1759.737044,Quinolines
278,CN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O,0.846319882,2.1118,266.3,2,1,49.41,2,0.891,1,2,0,2,0,2.093,-0.24292,-0.02694,0.21598,0.24292,0.02694,0.13493,0.10799,9.260116677,0.084295328,0.273220328,0.003360328,2640.044,2639.966108,Thiazoles
279,Cn1c(-c2ccc([N+](=O)[O-])cc2)nc2ccccc2c1=O,0.533791648,2.5087,281.271,5,0,78.03,2,0.9072,1,3,0,3,0,2.8491,-0.23684,-0.10351,0.13333,0.23684,0.10351,0.170175,0.066665,15.00037501,0.21720191,0.42070941,0.08035941,2239.417,2237.177435,Imidazoles
280,Cn1c(-c2ccc(O)cc2)nc2ccccc2c1=O,0.722669886,2.3061,252.273,4,1,55.12,1,0.9194,1,2,0,2,0,3.0641,-0.21993,-0.03586,0.18407,0.21993,0.03586,0.127895,0.092035,10.86543163,0.088863644,0.262776144,0.006986144,1952.928,1951.283208,Quinazolines
281,Cn1c(-c2ccccc2)nc2ccccc2c1=O,0.650602752,2.6005,236.274,3,0,34.89,1,0.8993,1,2,0,1,0,2.7296,-0.22355,-0.04071,0.18284,0.22355,0.04071,0.13213,0.09142,10.93852549,0.095484232,0.273324232,0.009064232,1792.824,1795.065462,Quinazolines
282,Cn1cc[n+](CCO)c1.F[P-](F)(F)(F)(F)F,0.500310465,2.6873,272.129,2,1,29.04,2,0.4377,1,2,0,1,1,8.5947,-0.08279,-0.02478,0.05801,0.08279,0.02478,0.053785,0.029005,34.47681434,0.049867716,0.118155216,0.010585216,1132.942,,Quinazolines
283,Cn1cc[n+](CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.572529309,0.3642,407.314,6,1,111.42,4,0.2012,1,3,2,5,0,,,,,,,,,,,,,,,Imidazoles
284,CN1CCN(C(=S)NCc2ccc(O)c3ncccc23)CC1,0.82033759,1.5623,316.43,4,2,51.63,2,0.951,1,4,1,1,0,4.1426,-0.19666,-0.06823,0.12843,0.19666,0.06823,0.132445,0.064215,15.57268551,0.136585518,0.301138018,0.036248018,3105.096,3097.333431,other
285,CNC(=O)N/N=C/c1ccccn1,0.506399874,0.3445,178.195,3,2,66.38,2,0.52,1,4,0,1,0,3.0607,-0.21976,-0.04958,0.17018,0.21976,0.04958,0.13467,0.08509,11.75226231,0.106569567,0.283784567,0.014444567,1389.008,,Quinolines
286,CNc1ccc(OC)cc1,0.669935642,1.7369,137.182,2,1,21.26,2,0.827,1,1,0,1,0,1.6379,-0.17728,0.00788,0.18516,0.17728,-0.00788,0.0847,0.09258,10.801469,0.038745355,0.169735355,0.000335355,1109.809,,Semicarbazones
287,COC1C2OC(C)(C)O[C@H]2C[C@@H]1C1CO1,0.64136038,0.9402,214.261,4,0,40.22,2,0.929,1,0,0,4,0,0.6587,-0.24461,0.06727,0.31188,0.24461,-0.06727,0.08867,0.15594,6.412722842,0.025209596,0.191849596,0.014509596,1840.369,1843.8047,Anisole
288,COc1cc(/C=N/NC(N)=S)ccc1O,0.397901645,0.5679,225.273,4,3,79.87,3,0.88,1,3,1,2,0,6.2141,-0.19702,-0.04772,0.1493,0.19702,0.04772,0.12237,0.07465,13.39584729,0.100297501,0.259992501,0.015252501,1796.16,1797.700075,Glucose
289,COc1cc(O)ccc1-c1nc(-c2ccccc2)c(-c2ccccc2)n1-c1ccccc1,0.35029642,6.5875,418.496,4,1,47.28,5,0.954,1,2,0,2,0,5.6825,-0.18662,-0.02364,0.16298,0.18662,0.02364,0.10513,0.08149,12.27144435,0.067813946,0.213688946,0.003428946,3580.085,3583.489865,Thiourea
290,COc1ccc(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)cc1,0.628144734,3.0547,312.321,4,1,72.83,7,0.9229,1,0,0,5,0,6.183,-0.21494,-0.0549,0.16004,0.21494,0.0549,0.13492,0.08002,12.49687578,0.113742854,0.288672854,0.018832854,2531.261,2526.699072,Imidazoles
291,COc1ccc(/C=C/C=N/c2c(C)n(C)n(-c3ccccc3)c2=O)cc1,0.65715307,3.90872,347.418,5,0,48.52,5,0.9814,1,3,0,2,0,2.8137,-0.19358,-0.0506,0.14298,0.19358,0.0506,0.12209,0.07149,13.98797035,0.10425212,0.26208712,0.01790712,3362.057,3354.74838,Chalcone
292,COc1ccc(/C=N/c2cccc(C(=O)O)c2)cc1O,0.837907871,2.8496,271.272,4,2,79.12,4,0.8753,1,1,0,4,0,2.2578,-0.21113,-0.0512,0.15993,0.21113,0.0512,0.131165,0.079965,12.50547114,0.107573671,0.278721171,0.016391171,2212.92,2216.374176,Schiff bases
293,COc1ccc(/C=N\\N2C(=S)NNC2C)cc1,0.620574287,1.0698,250.327,4,2,48.89,3,0.86,1,4,1,1,0,4.0079,-0.20217,-0.04334,0.15883,0.20217,0.04334,0.122755,0.079415,12.59207958,0.094873702,0.257336202,0.011826202,1840.749,1846.09857,Schiff bases
294,COc1ccc(C(=O)CSc2nnc(Cn3cncn3)[nH]2)cc1,0.516573031,1.4281,330.373,8,1,98.58,7,0.987,1,6,1,2,0,2.5323,-0.22613,-0.0503,0.17583,0.22613,0.0503,0.138215,0.087915,11.37462322,0.10864691,0.29081941,0.01438941,2431.954,2426.214273,other
295,COc1ccc(C(C)=NOCn2cnnc2)cc1,0.59458768,1.685,246.27,6,0,61.53,5,0.938,1,4,0,2,0,7.6349,-0.22069,-0.03782,0.18287,0.22069,0.03782,0.129255,0.091435,10.93673101,0.09135919,0.26633169,0.00782169,1955.667,1950.034456,Triazole
296,COc1ccc(C=O)cc1Br,0.706989908,2.2702,215.046,2,0,26.3,2,0.819,1,0,0,2,0,3.1276,-0.23775,-0.06176,0.17599,0.23775,0.06176,0.149755,0.087995,11.36428206,0.127430877,0.321183377,0.021673377,1265.382,1264.337004,Triazole
297,COc1ccc(N)c([N+](=O)[O-])c1,0.408306999,1.1856,168.152,4,1,78.39,2,0.861,1,2,0,3,0,5.6806,-0.20815,-0.08355,0.1246,0.20815,0.08355,0.14585,0.0623,16.05136437,0.170724097,0.347724097,0.056024097,1346.271,,Anisole
298,COc1ccc(O)c(/C=N/c2ccccc2O)c1,0.814653928,2.857,243.262,4,2,62.05,3,0.91,1,1,0,3,0,3.5352,-0.20756,-0.06608,0.14148,0.20756,0.06608,0.13682,0.07074,14.13627368,0.132313489,0.304503489,0.030863489,2252.151,2249.671644,Anisole
299,COc1ccc(O)c(/C=N/N2C(=O)c3ccccc3NC2c2cc(OC)ccc2O)c1,0.544882981,3.7156,419.437,7,3,103.62,5,0.93,1,3,0,5,0,6.4352,-0.19145,-0.05053,0.14092,0.19145,0.05053,0.12099,0.07046,14.19244962,0.103878655,0.260098655,0.018118655,2931.846,2922.932888,Schiff bases
300,COc1ccc(OC)c(/C=C/C(=O)c2ccc(OCC(=O)O)cc2)c1,0.586382784,3.0633,342.347,5,1,82.06,8,0.9596,1,0,0,6,0,4.8031,-0.20203,-0.0535,0.14853,0.20203,0.0535,0.127765,0.074265,13.46529321,0.109903018,0.274800518,0.019270518,2819.208,2812.90581,Schiff bases
301,COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccc(Br)cc3)ccc2c1,0.448260676,5.2548,425.326,3,1,50.69,5,0.91,1,2,0,2,0,3.3903,-0.20795,-0.04682,0.16113,0.20795,0.04682,0.127385,0.080565,12.41233786,0.10070712,0.26837462,0.01360462,3300.534,3291.70487,Chalcone
302,COc1ccc2cc(C(C)C(=O)N/N=C(\C)c3ccccc3)ccc2c1,0.546421752,4.4923,346.43,3,1,50.69,5,0.87,1,2,0,2,0,3.4215,-0.20251,-0.04424,0.15827,0.20251,0.04424,0.123375,0.079135,12.6366336,0.096173568,0.259116068,0.012366068,3152.798,3156.739245,Hydrazine
303,COc1cccc(-c2cnc3cc([N+](=O)[O-])ccc3n2)c1OC,0.542794258,3.2222,311.297,6,0,87.38,4,0.915,1,3,0,4,0,8.1065,-0.23015,-0.10819,0.12196,0.23015,0.10819,0.16917,0.06098,16.39881929,0.234654714,0.434314714,0.095974714,2623.201,2623.48941,Hydrazine
304,COc1cccc(-c2cnc3ccccc3n2)c1OC,0.729162508,3.314,266.3,4,0,44.24,3,0.953,1,2,0,2,0,2.5633,-0.21887,-0.07441,0.14446,0.21887,0.07441,0.14664,0.07223,13.84466288,0.148852898,0.331607898,0.038327898,2229.026,2228.035168,other
305,COc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,0.562902034,1.0974,315.362,9,1,83.01,5,0.924,1,7,1,1,0,6.8675,-0.23057,-0.07592,0.15465,0.23057,0.07592,0.153245,0.077325,12.93242806,0.151852764,0.343760264,0.037270264,2472.402,2467.229463,other
306,COc1ccccc1N,0.570691385,1.2774,123.155,2,1,35.25,1,0.5679,1,1,0,1,0,1.4869,-0.18667,0.0164,0.20307,0.18667,-0.0164,0.085135,0.101535,9.848820604,0.035691969,0.171594469,0.001324469,1012.085,,Triazole
307,COc1ccccc1N=Cc1ccccc1O,0.818225785,3.1514,227.263,3,1,41.82,3,0.85,1,1,0,2,0,3.1951,-0.21174,-0.05118,0.16056,0.21174,0.05118,0.13146,0.08028,12.45640259,0.107634103,0.279234103,0.016314103,2204.268,2200.467112,Amine
308,COc1ccccc1NC(=O)/C=N\O,0.429599694,1.0937,194.19,4,2,70.92,3,0.728,1,2,0,3,0,4.8636,-0.20761,-0.05057,0.15704,0.20761,0.05057,0.12909,0.07852,12.73560876,0.106114545,0.274464545,0.016284545,1537.829,,Schiff bases
309,COOCc1c(N)nnn1Cc1ccc(O)c2ncccc12,0.538786429,1.2404,301.306,8,2,108.31,5,0.87,1,5,0,3,0,4.101,-0.20246,-0.05592,0.14654,0.20246,0.05592,0.12919,0.07327,13.64815068,0.1138942,0.2797192,0.0213392,2503.946,2498.5612,Amine
310,CSc1scc(C)[n+]1-c1ccccc1.[I-],0.421411397,0.05912,349.262,2,0,3.88,2,0.9386,1,1,2,0,0,,,,,,,,,,,,,,,Triazole
311,Fc1ccccc1C=Nn1c(S)nnc1Cn1cncn1,0.580927356,1.2279,303.326,8,1,73.78,4,0.892,1,7,1,0,0,5.865,-0.23874,-0.08687,0.15187,0.23874,0.08687,0.162805,0.075935,13.16915783,0.174527346,0.375299846,0.049689846,2743.463,2749.33287,Epoxy
312,N#CC1=C(N)N(C2[C@H](O)[C@@H](O)[C@H](CO)O[C@H]2O)c2[nH]c(=O)[nH]c(=O)c2C1c1ccc([N+](=O)[O-])cc1,0.172953213,-2.58292,488.413,12,7,252.06,4,0.8779,1,6,0,9,0,11.4689,-0.21895,-0.08422,0.13473,0.21895,0.08422,0.151585,0.067365,14.84450382,0.170548595,0.355816095,0.052646095,3487.238,3485.130708,Triazole
313,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccc(Cl)cc1,0.676262199,3.66458,350.761,5,1,89.25,1,0.868,1,2,0,3,0,8.3736,-0.22981,-0.07689,0.15292,0.22981,0.07689,0.15335,0.07646,13.07873398,0.153781209,0.345361209,0.038661209,3071.441,3066.366662,Pyrimidines
314,N#CC1=C(N)Oc2c(c(=O)oc3ccccc23)C1c1ccccc1Cl,0.676262199,3.66458,350.761,5,1,89.25,1,0.916,1,2,0,3,0,8.6027,-0.22736,-0.07444,0.15292,0.22736,0.07444,0.1509,0.07646,13.07873398,0.148906683,0.338036683,0.036236683,2775.169,2780.719338,Pyranes
315,N#CCc1cc(CN2CCOCC2)c(O)c2ncccc12,0.930455472,1.83868,283.331,5,1,69.38,3,0.89,1,3,0,2,0,2.822,-0.21772,-0.07196,0.14576,0.21772,0.07196,0.14484,0.07288,13.72118551,0.143925807,0.325205807,0.035525807,1765.693,1765.97824,Pyranes
316,N/N=C(C(=N/c1ccccc1O)/c1ccccc1)\c1ccccc1,0.435603194,3.876,315.376,4,2,70.97,4,0.8862,1,3,0,1,0,3.1099,-0.19462,-0.04352,0.1511,0.19462,0.04352,0.11907,0.07555,13.23626737,0.093829682,0.250674682,0.012534682,2621.082,2626.84253,other
317,N[C@@H](CC(=O)O)C(=O)O,0.452021255,-1.127,133.103,3,3,100.62,3,0.887,1,1,0,4,0,2.1905,-0.24865,-0.00918,0.23947,0.24865,0.00918,0.128915,0.119735,8.351776841,0.069399412,0.258181912,0.000351912,1014.452,,Triazole
